	sc_id	spot	celltype	indice	x	y	UMAP1	UMAP2	core1	core2	scale_factor	adj_UMAP1	adj_UMAP2
0	531	0	HPC	0	375	375	18.363929748535156	32.65761947631836	18.339609336853027	32.40584754943848	1482.5425350238263	411.05604478804753	748.2625907243349
1	470	0	HPC	0	375	375	18.201034545898438	32.27704620361328	18.339609336853027	32.40584754943848	1482.5425350238263	169.55697812778664	184.04652624583443
2	869	0	HPC	0	375	375	18.281784057617188	32.249568939208984	18.339609336853027	32.40584754943848	1482.5425350238263	289.27156393323844	143.31031302036817
3	401	0	HPC	0	375	375	18.40216636657715	32.54196548461914	18.339609336853027	32.40584754943848	1482.5425350238263	467.7434574307604	576.8006286849505
4	321	0	Endo	0	375	375	18.538166046142578	32.397674560546875	18.339609336853027	32.40584754943848	1482.5425350238263	669.3687671361206	362.88319632992346
5	22	0	Endo	0	375	375	18.440574645996094	32.410728454589844	18.339609336853027	32.40584754943848	1482.5425350238263	524.685365366427	382.2361494963188
6	903	0	Sst	0	375	375	18.26656150817871	32.293949127197266	18.339609336853027	32.40584754943848	1482.5425350238263	266.7034868991939	209.10582942534862
7	162	0	Sst	0	375	375	18.222579956054688	32.323856353759766	18.339609336853027	32.40584754943848	1482.5425350238263	201.4989651189616	253.4445649088493
8	25	0	Astro	0	375	375	18.46622657775879	32.585811614990234	18.339609336853027	32.40584754943848	1482.5425350238263	562.7154453101516	641.8043819562971
9	188	0	Astro	0	375	375	18.213069915771484	32.320255279541016	18.339609336853027	32.40584754943848	1482.5425350238263	187.39992588932293	248.10581920777474
10	1034	1	ExcitatoryL6	1	375	1125	18.649658203125	32.60934066772461	18.595875930786132	32.55520477294922	1039.2408725050234	430.89273563074784	1181.2602345202185
11	1462	1	ExcitatoryL6	1	375	1125	18.269624710083008	32.40104293823242	18.595875930786132	32.55520477294922	1039.2408725050234	35.946396740656155	964.7887203819423
12	15	1	Micro	1	375	1125	18.604537963867188	32.52949142456055	18.595875930786132	32.55520477294922	1039.2408725050234	384.0019388168234	1098.2776373855324
13	702	1	Endo	1	375	1125	18.757978439331055	32.57378387451172	18.595875930786132	32.55520477294922	1039.2408725050234	543.4635524154784	1144.3081617181733
14	807	1	Endo	1	375	1125	18.845909118652344	32.760353088378906	18.595875930786132	32.55520477294922	1039.2408725050234	634.8447083132942	1338.1985143200857
15	156	1	Other	1	375	1125	18.56795883178711	32.359954833984375	18.595875930786132	32.55520477294922	1039.2408725050234	345.9874096784465	922.0882830736247
16	752	1	ExcitatoryL5	1	375	1125	18.56331443786621	32.564964294433594	18.595875930786132	32.55520477294922	1039.2408725050234	341.160765687835	1135.142493622655
17	785	1	ExcitatoryL5	1	375	1125	18.475631713867188	32.49960708618164	18.595875930786132	32.55520477294922	1039.2408725050234	250.0372950954727	1067.2206114944026
18	60	1	Astro	1	375	1125	18.52773094177246	32.53407669067383	18.595875930786132	32.55520477294922	1039.2408725050234	304.18094216058716	1103.0428333417667
19	122	1	Astro	1	375	1125	18.696414947509766	32.71943283081055	18.595875930786132	32.55520477294922	1039.2408725050234	479.484255460666	1295.6725101416137
