x,y
18.36393,32.65762
18.201035,32.277046
18.281784,32.24957
18.402166,32.541965
18.538166,32.397675
18.440575,32.41073
18.266562,32.29395
18.22258,32.323856
18.466227,32.58581
18.21307,32.320255
18.649658,32.60934
18.269625,32.401043
18.604538,32.52949
18.757978,32.573784
18.84591,32.760353
18.567959,32.359955
18.563314,32.564964
18.475632,32.499607
18.52773,32.534077
18.696415,32.719433
18.853455,32.74825
18.728788,32.7631
18.597813,32.44138
18.625778,32.55926
18.768984,32.645046
18.72135,32.59461
18.871141,32.836407
18.81371,32.838795
18.815739,32.841175
19.134594,32.887077
19.173695,32.988106
19.05261,32.96318
19.129639,32.908817
18.903206,32.982765
19.028408,33.003937
19.031446,33.08095
19.2436,33.201225
19.073719,33.06846
19.484678,33.30286
19.454927,33.364113
19.395382,33.296917
19.702414,33.535076
19.785732,33.639908
19.668726,33.403996
19.610535,33.391434
19.22981,33.285038
19.51108,33.30132
19.639153,33.39133
19.937666,33.807915
19.551865,33.351467
19.97195,33.775017
19.644272,33.441154
20.019842,33.79969
19.890015,33.72736
19.773157,33.669426
19.894978,33.612526
19.929438,33.716316
19.798697,33.520023
20.123835,33.946243
20.103458,34.00939
20.395933,34.264996
20.422462,34.282894
20.23806,34.10014
20.085386,33.979084
19.849495,33.541813
20.334738,34.217445
20.44714,34.29243
20.207102,34.1091
20.618954,34.578453
20.648396,34.441742
20.860992,34.689682
20.626247,34.50164
20.60523,34.61737
20.49808,34.638836
20.69141,34.573868
20.778708,34.498085
20.633028,34.68686
20.641275,34.6439
21.007524,34.961163
20.865223,34.711086
20.99101,34.888145
20.78167,34.64416
20.958513,34.79319
21.142063,35.0625
20.736742,34.579796
20.9559,34.825317
21.053898,34.950344
20.917477,34.803005
21.39768,35.313206
21.49639,35.46623
21.53489,35.46953
21.380795,35.358715
21.29173,35.199265
21.029585,34.949787
21.502302,35.60568
21.32159,35.34783
21.266684,35.254158
21.795599,35.7748
21.83813,35.77657
21.732857,35.812897
21.637243,35.567863
21.864384,35.940678
21.786358,35.64799
21.90358,35.86996
21.95107,35.930996
21.70223,35.79909
21.694584,35.578957
21.849684,35.821205
22.060633,36.167507
21.934233,36.015705
22.12018,36.053623
21.969336,35.8872
22.067068,35.913956
21.865685,36.014854
21.851095,36.066776
22.287024,36.2301
22.32759,36.45852
22.247591,36.237476
22.28368,36.20001
22.16581,36.14728
22.56841,36.461956
22.202728,36.363815
22.530796,36.496326
22.195093,36.387074
22.348116,36.228252
22.40274,38.630333
22.759245,36.810852
22.975632,36.969345
22.94417,37.0285
22.826084,36.801113
22.981966,37.12404
22.82106,36.97663
23.158213,37.02449
22.981176,36.915062
22.769331,36.681595
23.11044,37.130245
22.972017,37.17147
23.098602,37.240154
23.111614,37.23764
23.191607,37.20906
23.25473,37.273006
23.186003,37.4681
23.125595,37.386337
23.190828,37.284195
23.192358,37.231014
23.436676,37.689434
23.434763,37.56121
23.357807,37.698795
23.587486,37.657837
23.59079,37.88238
23.33794,37.429707
23.348646,37.57613
23.30829,37.53289
23.362793,37.55577
23.32542,37.397537
23.370329,37.67737
23.515234,37.761948
23.589552,38.11562
23.65379,38.042282
23.727913,37.920574
23.764446,37.980507
23.573236,37.975918
23.748041,38.048473
23.734423,38.103863
23.646807,37.807655
23.623846,38.1125
23.929514,38.512653
23.85316,38.358486
23.730906,38.027348
23.924967,38.184433
23.86782,38.276646
23.886518,38.29662
23.718122,38.20436
23.767239,37.981453
23.721899,37.90902
23.960497,38.615677
23.901773,38.526516
23.903696,38.749355
23.989128,38.63439
23.906551,38.796093
23.88317,38.538887
23.888435,38.75278
23.865747,38.7174
23.925858,38.56609
23.931347,38.256374
18.271742,32.532894
18.494078,32.57356
18.486525,32.677708
18.187237,32.490025
18.371628,32.53734
18.462292,32.559242
18.384836,32.658596
18.340303,32.36209
18.279959,32.62362
18.426405,32.629173
18.33976,32.759014
18.310726,32.803493
18.334713,32.494392
18.517626,32.853817
18.296198,32.47244
18.342154,32.620365
18.244164,32.367413
18.24579,32.408604
18.302757,32.442745
18.247913,32.81184
18.662502,32.900436
18.578794,32.847546
18.63265,33.10207
18.592209,32.983376
18.88291,33.02063
18.489708,32.559765
18.70093,33.041504
18.569931,32.810833
18.55018,32.524315
18.773289,32.93105
18.962933,33.076817
19.252333,33.392174
18.938953,32.68445
18.876572,33.025753
19.436947,33.53956
18.83713,33.25976
19.207094,33.260494
18.567652,32.63225
18.985178,33.109512
19.029032,32.9751
19.20719,33.32633
19.270607,33.40812
19.3798,33.620293
19.682543,33.743214
19.573948,33.650223
19.564823,33.60313
19.302065,33.43895
19.240215,33.5134
19.431139,33.268604
19.517761,33.613617
19.798294,33.725555
19.720758,34.01309
19.753038,33.766743
19.732979,33.82793
19.750853,33.770462
19.618124,33.698296
19.89343,34.029526
19.80374,33.8573
19.968657,33.952435
19.391142,33.589333
19.763346,34.01968
20.145401,34.231667
20.277185,34.290913
20.078392,34.393257
19.992926,34.42314
20.1507,34.27857
20.03461,34.09201
20.039562,34.11582
20.101366,34.401222
20.212904,34.212864
20.128983,34.345505
20.554125,34.552948
20.462307,34.704735
20.169394,34.568367
20.445704,34.480488
20.466944,34.58634
20.480732,34.50308
20.397308,34.541428
20.443571,34.49313
20.49638,34.6579
20.43159,34.668026
20.767864,34.93341
20.825047,35.01675
20.72672,34.9749
20.813671,34.777386
21.003002,35.11702
20.738441,34.921383
20.769314,34.99206
21.009167,35.13267
20.733719,35.01041
21.730124,35.797596
21.523333,35.69885
21.25615,35.539986
21.464035,35.621155
21.700994,35.69491
21.204283,35.423454
21.188148,35.270695
21.528711,35.540897
21.220943,35.480698
21.448044,35.609245
21.622448,35.863575
21.978481,35.969196
21.530518,35.897938
21.466263,35.82249
21.553257,35.72908
21.650852,35.943928
21.542889,35.776093
21.512558,36.00047
21.54327,35.828907
21.942854,36.001762
21.745852,36.027542
21.97708,36.132343
21.89905,36.184193
22.33329,36.304638
22.24797,36.257618
21.924465,36.326088
21.960423,36.367756
21.895327,35.974598
22.050022,36.288204
22.05007,36.199993
22.13322,36.56556
22.539865,36.908592
22.402628,36.59757
22.348818,36.561474
22.27205,36.489323
22.311178,36.66185
22.096087,36.392128
22.458855,36.636726
22.153315,36.680603
22.348448,36.536224
22.605923,36.861942
22.610136,36.91089
22.498447,36.774467
22.521135,36.611263
22.670279,36.92238
