x,y
14.4861145,32.69241
14.537187,32.5463
14.690482,32.36584
14.518585,32.49319
14.6090765,32.605057
14.816014,32.606842
14.425475,32.681614
14.621607,32.366352
14.65597,32.38064
14.563094,32.688416
14.667272,32.721016
14.653754,32.587173
14.786923,32.721798
14.716289,32.449097
14.745499,32.79559
14.808186,32.9282
14.844802,32.822468
14.704822,32.658363
14.711161,32.424156
14.588488,32.43744
14.900364,33.180622
14.808832,32.562706
14.945567,32.725903
14.861472,32.694145
15.024321,32.895542
14.860584,32.90652
14.80119,33.073853
14.97546,33.049343
14.762861,32.937668
14.992286,33.16313
14.960657,33.237164
15.078134,33.23671
15.198662,33.48551
15.281914,33.346127
14.928285,33.191856
15.102442,33.15376
14.975649,33.136
15.060831,33.306717
15.0048895,33.386597
14.994879,33.331528
15.455008,33.956898
15.467845,34.0431
15.332922,33.85723
15.241547,33.82382
15.493688,33.89008
15.610594,34.120396
15.390851,33.864594
15.2168455,33.76104
15.098077,33.539066
15.374618,33.612663
15.444102,33.76183
15.534103,34.24621
15.478186,33.86054
15.745792,34.349705
15.574144,33.869465
15.646798,34.286648
15.641769,34.27899
15.515728,34.02941
15.583272,34.101246
15.500198,34.203465
15.57783,34.082203
15.680841,34.578712
15.711158,34.514465
15.809844,34.831165
15.81958,34.81311
15.723872,34.89318
15.693196,34.743587
15.660173,34.338303
15.790373,34.73676
15.930528,34.836212
15.600422,34.908787
16.2519,35.46404
16.035593,35.19995
16.140442,35.402733
16.120272,35.261753
15.942526,35.12705
16.063889,35.171368
16.06488,35.33491
15.939684,35.1315
16.114395,35.365833
15.987594,35.161896
16.419724,35.71889
16.375162,35.739647
16.212296,35.61397
16.211254,35.440372
16.35389,35.733677
16.323347,35.652206
16.20691,35.53307
16.34995,35.635986
16.274124,35.816547
16.355604,35.68289
16.750797,36.240295
16.537859,36.40817
16.614698,36.388737
16.868095,36.37673
16.543941,36.00121
16.457394,35.79069
16.626476,36.652287
16.503801,36.208477
16.53358,36.432014
16.743753,36.711185
16.863604,36.401592
16.790321,36.87525
16.726402,36.71334
16.895903,36.577538
16.829475,36.56692
16.823595,36.870937
16.787607,36.907085
16.678997,36.896046
16.964996,36.582954
16.777353,36.506092
17.018713,36.78695
17.005842,36.914482
16.912676,36.990738
17.007847,36.81806
16.96222,36.894825
16.83325,37.14643
16.891624,36.80687
16.96573,37.05327
17.039518,36.910675
17.006548,37.46669
17.163765,37.502483
17.001408,37.546947
16.953016,37.45705
17.068882,36.908714
16.862236,37.52651
17.319094,37.927963
17.165087,37.641853
17.015274,37.090706
17.359997,37.98784
17.219093,38.269855
17.117346,38.012974
17.453337,38.29147
17.304583,38.47053
17.17973,38.182217
17.488209,38.423557
17.30286,38.113094
17.381939,38.34643
17.30079,38.283707
17.26239,37.94224
17.523035,38.680553
17.473795,38.5622
17.439455,38.80701
17.563955,38.65205
17.549574,38.879234
17.483511,38.740643
17.501059,38.850452
17.530039,38.87149
17.67432,38.706825
17.63461,38.751987
17.71626,39.214584
17.772839,39.3348
17.76523,39.266815
17.795921,39.332462
17.688004,39.244774
17.742897,38.964493
17.785282,39.356075
17.627634,39.215813
17.619724,39.080215
17.680397,38.988327
17.688942,39.12821
17.735388,39.709282
17.817389,39.357384
17.757662,39.32476
17.843885,39.34252
17.62338,39.493282
17.806414,39.43029
18.004988,39.66405
17.848864,39.471302
17.645002,39.5232
17.978977,39.82591
18.014418,40.000057
17.819138,39.84845
17.955574,40.058403
17.88907,39.95633
17.986998,40.005325
17.915607,39.93863
17.764303,40.053337
18.008156,39.725193
17.915026,40.223568
17.931717,40.150997
17.896233,40.234837
17.96773,40.208965
17.908665,40.196445
17.971783,40.148743
17.922249,40.21316
18.048677,39.955067
17.954224,40.185776
17.899298,40.0124
14.446711,32.84304
14.361243,32.833298
14.592971,32.605896
14.371874,32.633896
14.43293,32.846146
14.48456,32.74745
14.509372,32.663265
14.405366,32.6546
14.421873,32.881042
14.314318,32.786892
14.668479,32.849854
14.661992,32.4867
14.61413,32.45503
14.551551,32.5643
14.585828,32.538605
14.3986225,32.827026
14.44183,32.9508
14.440547,32.914486
14.40075,32.914
14.678982,32.51029
14.780585,32.74764
14.688499,33.032845
14.723425,32.572163
14.869318,33.153084
14.656878,33.045452
14.62918,33.109726
14.830064,33.076824
14.749719,32.934723
14.755192,33.13362
14.76082,33.166397
14.749568,33.432453
15.179019,33.614662
15.160346,33.292538
14.80228,33.375294
15.156029,33.575615
15.180888,33.808125
15.22239,33.716076
14.839665,32.70197
15.007587,33.371548
14.940212,33.410892
15.326286,33.994633
15.221603,34.172638
15.439689,34.197147
15.372193,34.32191
15.343005,33.97566
15.148842,33.697582
15.226717,33.806522
15.301158,33.923325
15.18126,34.084343
15.400155,34.40541
15.374911,34.44224
15.517226,34.292282
15.565972,34.167423
15.360965,33.960125
15.4529295,34.19229
15.542266,34.48153
15.461824,34.410046
15.474393,34.565628
15.309685,34.13102
15.136953,34.552216
15.788055,35.07631
15.768428,34.89542
15.911135,35.04171
15.751134,34.869232
15.436134,34.97711
15.555353,34.749115
15.652156,34.99022
15.711225,34.912495
15.704776,34.752583
15.634594,34.68538
15.865394,35.292614
15.791345,35.284412
15.883535,35.234016
16.035107,35.363014
15.951792,35.29182
15.917095,35.29285
15.879831,35.013626
15.68344,35.24292
15.845648,35.47491
16.113667,35.63586
16.160563,35.731113
16.15729,35.695568
16.026602,35.74667
16.138908,35.41541
16.294764,35.815598
16.108397,35.66223
16.151352,35.732403
15.889961,35.582554
16.249268,35.805363
16.443611,36.57429
16.5894,36.701714
16.295416,36.48915
16.389545,36.525265
16.46133,36.523575
16.668852,36.799126
16.312725,36.318523
16.316841,36.199364
16.41522,36.391563
16.478285,36.45743
16.559723,36.518787
16.585936,36.39635
16.69642,36.865227
16.369438,36.726013
16.414572,36.512043
16.50308,36.77706
16.505997,36.826626
16.787079,36.611225
16.572983,36.951527
16.632706,36.81773
16.932251,36.927628
16.74799,36.841095
16.767899,37.097946
16.704805,36.99701
16.566574,36.90773
16.623398,36.853092
16.700855,37.339428
16.715193,37.000854
16.948519,37.30611
16.775066,37.284744
16.83971,37.124584
16.995596,37.84639
16.89687,37.3021
16.96989,37.76606
16.878635,37.743427
16.858042,37.465652
16.909218,37.76583
16.913513,37.842907
16.965776,37.676495
17.022842,37.65633
16.904154,37.48273
16.857576,37.672565
17.166498,38.040638
17.025671,38.167454
17.287111,38.370995
17.046797,38.14377
17.052698,37.98485
17.149704,38.497986
17.019165,38.107307
17.126516,38.349907
17.065004,37.910416
17.383093,38.57232
17.168428,38.744
17.488934,38.87029
17.150835,38.90701
17.132578,38.63981
17.118195,38.91306
17.37232,38.85844
