,sc_id,spot,celltype,indice,x,y,UMAP1,UMAP2,core1,core2,scale_factor,adj_UMAP1,adj_UMAP2
0,25,0,Astro,0,375,375,14.486114501953125,32.69240951538086,14.592360496520996,32.54266586303711,1611.6611679826676,203.7674563012647,616.336029634321
1,1468,0,Astro,0,375,375,14.537186622619629,32.54629898071289,14.592360496520996,32.54266586303711,1611.6611679826676,286.07840994599417,380.8553546767704
2,162,0,Sst,0,375,375,14.690482139587402,32.365840911865234,14.592360496520996,32.54266586303711,1611.6611679826676,533.1388418687827,90.01809266586008
3,1054,0,Sst,0,375,375,14.518585205078125,32.49319076538086,14.592360496520996,32.54266586303711,1611.6611679826676,256.0992276249207,295.2629063252739
4,22,0,Endo,0,375,375,14.609076499938965,32.60505676269531,14.592360496520996,32.54266586303711,1611.6611679826676,401.9405335926058,475.55299021463134
5,321,0,Endo,0,375,375,14.816014289855957,32.606842041015625,14.592360496520996,32.54266586303711,1611.6611679826676,735.4541337899773,478.43025395752034
6,401,0,HPC,0,375,375,14.425475120544434,32.68161392211914,14.592360496520996,32.54266586303711,1611.6611679826676,106.03732003438665,598.9371911890735
7,869,0,HPC,0,375,375,14.621606826782227,32.36635208129883,14.592360496520996,32.54266586303711,1611.6611679826676,422.1351747880215,90.84192459224278
8,470,0,HPC,0,375,375,14.655969619750977,32.380638122558594,14.592360496520996,32.54266586303711,1611.6611679826676,477.51635383918375,113.86618253480526
9,531,0,HPC,0,375,375,14.563094139099121,32.68841552734375,14.592360496520996,32.54266586303711,1611.6611679826676,327.83254821486275,609.8990742095244
10,60,1,Astro,1,375,1125,14.667271614074707,32.72101593017578,14.722719383239745,32.65452995300293,1307.9655794438706,302.4762264751806,1211.9613696577826
11,785,1,ExcitatoryL5,1,375,1125,14.653754234313965,32.58717346191406,14.722719383239745,32.65452995300293,1307.9655794438706,284.79595902385864,1036.9000281036458
12,752,1,ExcitatoryL5,1,375,1125,14.7869234085083,32.721797943115234,14.722719383239745,32.65452995300293,1307.9655794438706,458.976655113015,1212.9842156652671
13,115,1,Sst,1,375,1125,14.716288566589355,32.4490966796875,14.722719383239745,32.65452995300293,1307.9655794438706,366.58871317357546,856.3003496309348
14,309,1,Olig,1,375,1125,14.745498657226562,32.795589447021484,14.722719383239745,32.65452995300293,1307.9655794438706,404.7945062994779,1309.50096283004
15,238,1,Endo,1,375,1125,14.808185577392578,32.928199768066406,14.722719383239745,32.65452995300293,1307.9655794438706,486.7868401579722,1482.9506982357989
16,104,1,Endo,1,375,1125,14.844801902770996,32.82246780395508,14.722719383239745,32.65452995300293,1307.9655794438706,534.67973339866,1344.656928531187
17,15,1,Micro,1,375,1125,14.704821586608887,32.658363342285156,14.722719383239745,32.65452995300293,1307.9655794438706,351.5902980589504,1130.0139412337633
18,1462,1,ExcitatoryL6,1,375,1125,14.711160659790039,32.424156188964844,14.722719383239745,32.65452995300293,1307.9655794438706,359.8815875854734,823.6790462312613
19,1454,1,ExcitatoryL6,1,375,1125,14.58848762512207,32.43743896484375,14.722719383239745,32.65452995300293,1307.9655794438706,199.42948071384563,841.0524598803379
20,1239,2,ExcitatoryL6,101,375,1875,14.90036392211914,33.18062210083008,14.882294654846191,32.89181137084961,1112.083769519144,395.09453886135026,2196.1817252742553
21,1232,2,Olig,101,375,1875,14.808832168579102,32.562705993652344,14.882294654846191,32.89181137084961,1112.083769519144,293.30356135384636,1509.0072515574452
22,449,2,Olig,101,375,1875,14.94556713104248,32.72590255737305,14.882294654846191,32.89181137084961,1112.083769519144,445.36429383517947,1690.495501312536
23,78,2,Olig,101,375,1875,14.861472129821777,32.69414520263672,14.882294654846191,32.89181137084961,1112.083769519144,351.8436078799429,1655.1786625474033
24,554,2,Olig,101,375,1875,15.024320602416992,32.89554214477539,14.882294654846191,32.89181137084961,1112.083769519144,532.9447511440644,1879.1489331306066
25,47,2,Olig,101,375,1875,14.860584259033203,32.90652084350586,14.882294654846191,32.89181137084961,1112.083769519144,350.85622118653936,1891.3581657992013
26,1417,2,Olig,101,375,1875,14.801190376281738,33.0738525390625,14.882294654846191,32.89181137084961,1112.083769519144,284.80524816991226,2077.44502855386
27,139,2,Olig,101,375,1875,14.975460052490234,33.04934310913086,14.882294654846191,32.89181137084961,1112.083769519144,478.6077266007373,2050.1884893267156
28,865,2,Olig,101,375,1875,14.762861251831055,32.93766784667969,14.882294654846191,32.89181137084961,1112.083769519144,242.18005096842765,1925.9962424979767
29,351,3,ExcitatoryL6,112,375,2625,14.99228572845459,33.16313171386719,15.052602421153676,33.27046377008612,1442.5318799170864,287.9912478904064,2470.1700871671414
30,1182,3,Olig,112,375,2625,14.960657119750977,33.23716354370117,15.052602421153676,33.27046377008612,1442.5318799170864,242.3659715180212,2576.9633618312605
31,459,3,Olig,112,375,2625,15.078133583068848,33.23670959472656,15.052602421153676,33.27046377008612,1442.5318799170864,411.82951499396046,2576.308525963531
32,495,3,Olig,112,375,2625,15.198661804199219,33.485511779785156,15.052602421153676,33.27046377008612,1442.5318799170864,585.695316404217,2935.2136097035827
33,10,3,Olig,112,375,2625,15.281913757324219,33.346126556396484,15.052602421153676,33.27046377008612,1442.5318799170864,705.7889128523923,2734.145981376059
34,23,3,Olig,112,375,2625,14.928284645080566,33.191856384277344,15.052602421153676,33.27046377008612,1442.5318799170864,195.6676447741462,2511.606339973903
35,1487,3,Olig,112,375,2625,15.102441787719727,33.15375900268555,15.052602421153676,33.27046377008612,1442.5318799170864,446.89487514640206,2456.649652486369
